dataset,split,budget,rep,features,probe,score,k,alpha,nonmonotone
synthetic,0,50,0,raw,linear,-0.10485067782789592,4,1.0,False
synthetic,0,50,0,raw,xgb,0.4356705008900139,4,1.0,False
synthetic,0,50,0,pca,linear,0.3635943057133104,4,1.0,False
synthetic,0,50,0,pca,xgb,0.46381714413540864,4,1.0,False
synthetic,0,50,0,spectral-marginal,linear,0.36341609214738146,4,1.0,False
synthetic,0,50,0,spectral-marginal,xgb,0.5331206993910614,4,1.0,False
synthetic,0,50,0,spectral-gibbs,linear,0.36496981308955523,4,1.0,False
synthetic,0,50,0,spectral-gibbs,xgb,0.48846653525007633,4,1.0,False
synthetic,0,50,0,conditional,linear,0.3166660056716277,4,1.0,False
synthetic,0,50,0,conditional,xgb,0.451557618944217,4,1.0,False
synthetic,0,50,0,raw+pca,xgb,0.4652919258349715,4,1.0,False
synthetic,0,50,0,raw+spectral-gibbs,xgb,0.4506364075226812,4,1.0,False
synthetic,0,50,0,raw+conditional,xgb,0.4296215349866267,4,1.0,False
synthetic,0,50,1,raw,linear,0.2965406642765235,4,1.0,False
synthetic,0,50,1,raw,xgb,0.38009955432909037,4,1.0,False
synthetic,0,50,1,pca,linear,0.3274252772643359,4,1.0,False
synthetic,0,50,1,pca,xgb,0.5229281796508598,4,1.0,False
synthetic,0,50,1,spectral-marginal,linear,0.32871631436954096,4,1.0,False
synthetic,0,50,1,spectral-marginal,xgb,0.5479201632779118,4,1.0,False
synthetic,0,50,1,spectral-gibbs,linear,0.328050698622361,4,1.0,False
synthetic,0,50,1,spectral-gibbs,xgb,0.5313362924967739,4,1.0,False
synthetic,0,50,1,conditional,linear,0.32851453682965415,4,1.0,False
synthetic,0,50,1,conditional,xgb,0.40273985066457363,4,1.0,False
synthetic,0,50,1,raw+pca,xgb,0.3640329680615888,4,1.0,False
synthetic,0,50,1,raw+spectral-gibbs,xgb,0.3599603893426009,4,1.0,False
synthetic,0,50,1,raw+conditional,xgb,0.3478781057668159,4,1.0,False
synthetic,0,50,2,raw,linear,0.22980287858590098,4,1.0,False
synthetic,0,50,2,raw,xgb,0.3509910892975303,4,1.0,False
synthetic,0,50,2,pca,linear,0.2568505069912841,4,1.0,False
synthetic,0,50,2,pca,xgb,0.4556958087947367,4,1.0,False
synthetic,0,50,2,spectral-marginal,linear,0.25516057188504215,4,1.0,False
synthetic,0,50,2,spectral-marginal,xgb,0.4968059257206503,4,1.0,False
synthetic,0,50,2,spectral-gibbs,linear,0.2541390691400307,4,1.0,False
synthetic,0,50,2,spectral-gibbs,xgb,0.4826849979396821,4,1.0,False
synthetic,0,50,2,conditional,linear,0.24258301012756556,4,1.0,False
synthetic,0,50,2,conditional,xgb,0.45665331843083357,4,1.0,False
synthetic,0,50,2,raw+pca,xgb,0.30201725525907197,4,1.0,False
synthetic,0,50,2,raw+spectral-gibbs,xgb,0.318504034309535,4,1.0,False
synthetic,0,50,2,raw+conditional,xgb,0.37604730297504274,4,1.0,False
synthetic,0,50,3,raw,linear,0.3397914464896149,4,1.0,False
synthetic,0,50,3,raw,xgb,0.40736027960494536,4,1.0,False
synthetic,0,50,3,pca,linear,0.35721990516277136,4,1.0,False
synthetic,0,50,3,pca,xgb,0.46964400387449956,4,1.0,False
synthetic,0,50,3,spectral-marginal,linear,0.36143256764163956,4,1.0,False
synthetic,0,50,3,spectral-marginal,xgb,0.5239465076909267,4,1.0,False
synthetic,0,50,3,spectral-gibbs,linear,0.36030818635566453,4,1.0,False
synthetic,0,50,3,spectral-gibbs,xgb,0.5125468515950241,4,1.0,False
synthetic,0,50,3,conditional,linear,0.3551855578045915,4,1.0,False
synthetic,0,50,3,conditional,xgb,0.444971187898368,4,1.0,False
synthetic,0,50,3,raw+pca,xgb,0.45207118243824285,4,1.0,False
synthetic,0,50,3,raw+spectral-gibbs,xgb,0.4465073909474907,4,1.0,False
synthetic,0,50,3,raw+conditional,xgb,0.44331273565598406,4,1.0,False
synthetic,0,50,4,raw,linear,0.3372634730368652,4,1.0,False
synthetic,0,50,4,raw,xgb,0.3512302305633044,4,1.0,False
synthetic,0,50,4,pca,linear,0.3711682669763334,4,1.0,False
synthetic,0,50,4,pca,xgb,0.5278248407133076,4,1.0,False
synthetic,0,50,4,spectral-marginal,linear,0.370057785119153,4,1.0,False
synthetic,0,50,4,spectral-marginal,xgb,0.5460323786627382,4,1.0,False
synthetic,0,50,4,spectral-gibbs,linear,0.36935001719362703,4,1.0,False
synthetic,0,50,4,spectral-gibbs,xgb,0.5451497433891173,4,1.0,False
synthetic,0,50,4,conditional,linear,0.3384599999862882,4,1.0,False
synthetic,0,50,4,conditional,xgb,0.4165992472114467,4,1.0,False
synthetic,0,50,4,raw+pca,xgb,0.4403834072899596,4,1.0,False
synthetic,0,50,4,raw+spectral-gibbs,xgb,0.4509963837157799,4,1.0,False
synthetic,0,50,4,raw+conditional,xgb,0.3808548800022491,4,1.0,False
synthetic,0,100,0,raw,linear,0.27617713149558554,4,1.0,False
synthetic,0,100,0,raw,xgb,0.45645953119527916,4,1.0,False
